Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
586,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Couvercle rectangulaire,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"1,5 x 9 x 18 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
587,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Petit couvercle carré,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"1,5 x 9 x 9 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
588,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)",Carafe basse,Design d'Objet,3,1938,Inscription à l'inventaire en 1993,"8,5 x 9 x 9 cm",Verre pressé,1938,1993,Inscription,Homme,objet.png,allemande (RFA),germany.png,
589,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase,Design d'Objet,3,décembre 1938,Legs de M. Atherton Curtis en 1957,"hauteur: 29 cm
diamètre: 18,5 cm",Grès émaillé,1938,1957,Legs,Homme,objet.png,française,france.png,
590,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase,Design d'Objet,3,décembre 1938,Legs de M. Atherton Curtis en 1957,"hauteur: 11,5 cm
diamètre: 8 cm",Grès tourné et émaillé,1938,1957,Legs,Homme,objet.png,française,france.png,
591,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase,Design d'Objet,3,décembre 1938,Legs de M. Atherton Curtis en 1957,"hauteur: 28 cm
diamètre: 15 cm",Grès émaillé,1938,1957,Legs,Homme,objet.png,française,france.png,
592,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupe,Design d'Objet,3,décembre 1938,Legs de M. Atherton Curtis en 1957,"hauteur: 6 cm
diamètre: 16,7 cm",Grès émaillé,1938,1957,Legs,Homme,objet.png,française,france.png,
593,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase,Design d'Objet,3,juin 1938,Legs de M. Atherton Curtis en 1957,"hauteur: 32,5 cm
diamètre: 21 cm",Grès émaillé,1938,1957,Legs,Homme,objet.png,française,france.png,
594,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase,Design d'Objet,3,mars 1938,Legs de M. Atherton Curtis en 1957,"hauteur: 11 cm
diamètre: 10 cm",Grès émaillé,1938,1957,Legs,Homme,objet.png,française,france.png,
595,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Vase,Design d'Objet,3,mars 1938,Legs de M. Atherton Curtis en 1957,"hauteur: 32 cm
diamètre: 21 cm",Grès émaillé bleu gris,1938,1957,Legs,Homme,objet.png,française,france.png,
